iter	Passed	Remaining
0	5	5492
1	11	5736
2	16	5437
3	21	5273
4	26	5274
5	31	5202
6	36	5135
7	41	5105
8	46	5117
9	51	5083
10	56	5046
11	61	5081
12	66	5074
13	71	5062
14	77	5107
15	83	5110
16	88	5105
17	94	5143
18	99	5129
19	104	5099
20	109	5113
21	114	5108
22	119	5093
23	125	5106
24	130	5101
25	135	5088
26	141	5108
27	146	5101
28	152	5090
29	157	5104
30	163	5095
31	167	5079
32	174	5101
33	179	5106
34	186	5129
35	192	5146
36	197	5134
37	202	5129
38	209	5171
39	214	5152
40	219	5144
41	225	5144
42	231	5143
43	236	5128
44	242	5140
45	247	5130
46	252	5118
47	257	5115
48	262	5101
49	267	5087
50	273	5096
51	278	5082
52	283	5065
53	290	5084
54	295	5070
55	299	5054
56	305	5056
57	310	5044
58	315	5031
59	320	5028
60	326	5019
61	330	5007
62	337	5017
63	342	5007
64	347	4997
65	353	5000
66	358	4992
67	363	4982
68	369	4984
69	374	4975
70	379	4964
71	386	4984
72	391	4975
73	396	4965
74	403	4972
75	408	4964
76	413	4955
77	419	4961
78	425	4957
79	430	4948
80	437	4966
81	442	4958
82	447	4949
83	453	4947
84	458	4938
85	465	4943
86	471	4947
87	476	4941
88	485	4967
89	491	4966
90	497	4971
91	504	4976
92	509	4972
93	517	4991
94	523	4987
95	530	4991
96	537	4999
97	542	4991
98	549	4998
99	554	4994
100	560	4988
101	570	5025
102	576	5024
103	585	5044
104	590	5033
105	596	5035
106	602	5028
107	607	5019
108	614	5022
109	619	5014
110	624	5004
111	631	5008
112	636	4998
113	641	4987
114	647	4986
115	653	4979
116	658	4970
117	665	4971
118	670	4962
119	676	4959
120	682	4960
121	687	4950
122	693	4943
123	699	4942
124	705	4940
125	712	4941
126	717	4932
127	722	4923
128	729	4927
129	735	4920
130	740	4910
131	746	4912
132	752	4903
133	758	4899
134	763	4893
135	769	4887
136	775	4885
137	781	4881
138	786	4873
139	792	4870
140	798	4863
141	803	4856
142	810	4856
143	815	4850
144	821	4843
145	827	4840
146	833	4834
147	839	4831
148	844	4825
149	850	4818
150	856	4813
151	862	4809
152	867	4803
153	874	4802
154	880	4798
155	885	4792
156	892	4792
157	898	4786
158	905	4787
159	910	4782
160	916	4776
161	923	4775
162	928	4769
163	934	4763
164	940	4759
165	945	4752
166	951	4746
167	957	4742
168	963	4736
169	969	4733
170	974	4725
171	980	4720
172	986	4714
173	991	4708
174	997	4702
